KABUPATEN,JENIS SEKOLAH,NAMA SEKOLAH,S1,S2,S3,S4,S5,S6,S7,S8,AKREDITASI
KABUPATEN TAKALAR,NEGERI,SMKN 2 TAKALAR,82,79,88,85,81,86,87,86,B
KABUPATEN SOPPENG,NEGERI,SMKN 2 WATANSOPPENG,88,87,86,86,84,83,93,86,A
KABUPATEN BARRU,NEGERI,SMKN 3 BARRU,87,88,76,79,78,71,77,84,B
KABUPATEN BULUKUMBA ,NEGERI,SMKN 3 BULUKUMBA,86,84,85,84,90,89,92,87,A
KOTA MAKASSAR,NEGERI,SMKN 3 MAKASSAR,85,73,74,81,79,78,81,80,B
KOTA  PALOPO ,NEGERI,SMKN 3 PALOPO,84,82,82,85,82,83,89,85,B
KABUPATEN PINRANG,NEGERI,SMKN 3 PINRANG  ,96,95,96,91,91,93,99,95,A
KABUPATEN TAKALAR,NEGERI,SMKN 3 TAKALAR,75,87,86,90,77,83,91,81,B
KABUPATEN BANTAENG,NEGERI,SMKN 4 BANTAENG,82,81,84,76,77,80,85,90,B
KABUPATEN ENREKANG,NEGERI,SMKN 4 ENREKANG,83,78,82,75,69,70,81,83,B
KABUPATEN SINJAI,NEGERI,SMKN 4 SINJAI,86,84,78,52,52,72,78,83,B
KABUPATEN TAKALAR,NEGERI,SMKN 4 TAKALAR,81,89,88,80,69,75,97,92,B
KABUPATEN JENEPONTO,NEGERI,SMKN 5 JENEPONTO,82,86,84,82,86,84,87,83,B
KOTA MAKASSAR,NEGERI,SMKN 5 MAKASSAR,85,88,95,80,85,93,97,92,A
KABUPATEN TAKALAR,NEGERI,SMKN 5 TAKALAR,81,83,78,82,82,79,88,83,B
KOTA MAKASSAR,NEGERI,SMKN 6 MAKASSAR,90,91,90,90,94,89,94,91,A
KABUPATEN PINRANG,NEGERI,SMKN 6 PINRANG,85,77,77,74,79,78,89,86,B
KABUPATEN TAKALAR,NEGERI,SMKN 6 TAKALAR,89,86,82,72,77,85,90,88,B
KABUPATEN PINRANG,NEGERI,SMKN 7 PINRANG,82,84,77,79,77,77,80,83,B
KABUPATEN BULUKUMBA ,NEGERI,SMKN 8 BULUKUMBA,79,59,51,61,71,63,78,36,TT
KOTA MAKASSAR,SWASTA,SMKS DHARMAWIRAWAN PEPABRI MAKASSAR,72,72,52,66,63,59,64,59,C
KABUPATEN BONE,SWASTA,SMKS DIRGANTARA  BONE,88,91,93,64,54,70,80,89,B
KABUPATEN BULUKUMBA ,SWASTA,SMKS MUHAMMADIYAH BULUKUMBA,89,91,88,88,91,83,93,82,A
KABUPATEN BONE,SWASTA,SMKS TV WATAMPONE,82,85,73,56,56,66,73,86,B
KABUPATEN ENREKANG,SWASTA,SMKS  45 KALOSI,86,91,87,93,75,81,96,89,A
KOTA PAREPARE,SWASTA,SMKS  AL BADAR ,84,81,82,80,85,80,88,83,B
KABUPATEN PINRANG,SWASTA,SMKS  BARAMULI  PINRANG  ,71,63,63,75,78,83,93,64,B
KABUPATEN MAROS,SWASTA,SMKS  DARUL ULUM AMESSANGENG,68,67,74,50,67,58,57,67,C
KOTA PAREPARE,SWASTA,SMKS  DDI PAREPARE,89,83,84,70,78,79,89,82,B
KABUPATEN TORAJA UTARA,SWASTA,SMKS  ERAN BATU 2 ,85,72,76,81,83,75,84,72,B
KABUPATEN MAROS,SWASTA,SMKS  FARDILLAH MAROS,69,58,57,54,59,65,73,58,C
KABUPATEN GOWA,SWASTA,SMKS  FARMASI SYEHK YUSUF AL MAKASSARI,76,71,72,75,81,68,70,71,B
KOTA MAKASSAR,SWASTA,SMKS  HANDAYANI   ,89,87,86,86,78,82,90,86,A
KOTA MAKASSAR,SWASTA,SMKS  INFORMATIK KOMPUTER MAHARDIKA,70,72,78,66,63,58,82,80,B
KABUPATEN BANTAENG,SWASTA,SMKS  IT DII DONGKOKANG,96,87,85,79,59,76,91,80,B
KABUPATEN BONE,SWASTA,SMKS  IT TEKNOLOGI BONE,73,74,84,62,66,62,71,63,C
KOTA MAKASSAR,SWASTA,SMKS  JAYA NEGARA MAKASSAR,87,80,82,84,84,85,95,80,B
KABUPATEN MAROS,SWASTA,SMKS  KEBANGSAAN INDONESIA MAROS,77,81,85,61,77,78,90,82,B
KOTA  PALOPO ,SWASTA,SMKS  KEPERAWATAN GAFUR YAHYA ,61,53,63,57,74,42,63,57,C
KABUPATEN MAROS,SWASTA,SMKS  KESEHATAN BAHAGIA PRIMANEGARA,70,73,78,63,62,60,77,82,B
KABUPATEN TORAJA UTARA,SWASTA,SMKS  KRISTEN 2 RANTEPAO,81,75,80,69,62,80,89,84,B
KOTA MAKASSAR,SWASTA,SMKS  LANIANG MAKASSAR,88,91,87,85,92,91,92,90,A
KOTA MAKASSAR,SWASTA,SMKS  MAARIF MAKASSAR ,67,67,58,56,58,59,80,67,C
KOTA MAKASSAR,SWASTA,SMKS  MANDIRI MAKASSAR,84,83,92,68,78,75,93,89,B
KABUPATEN JENEPONTO,SWASTA,SMKS  MUHAMMADIYAH JENEPONTO,63,69,75,64,81,72,82,75,B
KOTA  PALOPO ,SWASTA,SMKS  MUHAMMADIYAH PALOPO,64,60,64,51,73,60,67,62,C
KOTA PAREPARE,SWASTA,SMKS  MUHAMMADIYAH PARE - PARE,92,70,69,77,62,87,90,95,B
KABUPATEN SIDRAP,SWASTA,SMKS  MUHAMMADIYAH SIDENRENG RAPPANG,83,83,81,74,72,76,80,80,B
KOTA  PALOPO ,SWASTA,SMKS  NECO JAYA,76,66,69,65,65,69,81,64,C
KABUPATEN GOWA,SWASTA,SMKS  PELITA AGUNG,90,81,80,80,74,81,92,82,B
KOTA MAKASSAR,SWASTA,SMKS  PERSADA MAKASSAR,68,77,63,75,70,67,72,76,B
KABUPATEN MAROS,SWASTA,SMKS  SALEWANGANG MAROS,74,81,71,57,74,65,77,78,B
KOTA  PALOPO ,SWASTA,SMKS  SAMUDRA NUSANTARA UTAMA,88,87,86,88,89,87,95,87,A
KABUPATEN TAKALAR,SWASTA,SMKS  SAWAKUNG PUTRA PERSADA,69,71,65,84,66,74,81,77,B
KOTA MAKASSAR,SWASTA,SMKS  TEKNOLOGI TRI TUNGGAL 45 MAKASSAR,88,91,96,83,84,73,98,95,A
KABUPATEN MAROS,SWASTA,SMKS  TRIDHARMA MAROS,78,82,84,74,73,70,80,81,B
KOTA MAKASSAR,SWASTA,SMKS  WAHYU 1 (SMEA) MAKASSAR,84,85,79,85,84,89,86,88,B
KOTA MAKASSAR,SWASTA,SMKS  WAHYU 2 (STM) MAKASSAR,81,77,88,88,78,70,75,77,B
KABUPATEN GOWA,SWASTA,SMKS  YAPIP SUNGGUMINASA,88,82,83,68,77,73,92,88,B
KABUPATEN BANTAENG,SWASTA,SMKS AL-FURQAN ERENG-ERENG,76,76,82,69,70,66,90,68,B
KABUPATEN LUWU,SWASTA,SMKS AMALIAH BAJO,80,74,69,54,67,60,82,83,B
KABUPATEN LUWU TIMUR,SWASTA,SMKS BUDI UTOMO,83,80,88,87,84,86,86,85,B
KOTA MAKASSAR,SWASTA,SMKS DARUSSALAM,88,71,86,81,88,76,89,71,B
KABUPATEN TORAJA UTARA,SWASTA,SMKS ERAN BATU 1 ,78,81,79,83,79,79,80,78,B
KABUPATEN TORAJA UTARA,SWASTA,SMKS ERAN BATU 2 ,93,83,87,86,84,87,84,84,A
KABUPATEN TORAJA UTARA,SWASTA,SMKS ERAN BATU 3 RANTEPAO,85,85,86,85,84,85,91,87,A
KABUPATEN LUWU,SWASTA,SMKS GOW BELOPA,62,70,79,56,56,63,94,82,C
KOTA MAKASSAR,SWASTA,SMKS GUNUNG SARI 2 MAKASSAR,81,77,87,94,70,78,85,77,B
KABUPATEN LUWU,SWASTA,SMKS HARAPAN LAMASI,82,69,77,68,71,64,86,71,B
KABUPATEN BONE ,SWASTA,SMKS HUSADA MULIA,72,73,74,66,64,72,83,78,B
KOTA MAKASSAR,SWASTA,SMKS ILHAM MAKASSAR,85,85,86,92,78,83,97,91,A
KOTA  PALOPO ,SWASTA,SMKS KARTIKA XX-2 PALOPO,88,94,88,87,78,77,85,95,A
KOTA MAKASSAR,SWASTA,SMKS KEBANGSAAN ,85,89,89,86,90,86,91,90,A
KOTA MAKASSAR,SWASTA,SMKS KOMPUTER  MUTIARA ILMU,87,83,94,80,82,83,81,83,B
KABUPATEN TANA TORAJA,SWASTA,SMKS KRISTEN BITTUANG,81,85,75,60,82,84,86,84,B
KABUPATEN TANA TORAJA,SWASTA,SMKS KRISTEN KANDORA,62,65,60,60,59,64,67,65,C
KABUPATEN TORAJA UTARA,SWASTA,SMKS KRISTEN TAGARI RANTEPAO,96,95,98,93,94,96,95,95,A
KABUPATEN TORAJA UTARA,SWASTA,SMKS KRISTEN TAGARI TALLUNGLIPU,94,94,93,96,96,95,94,97,A
KABUPATEN TAKALAR,SWASTA,SMKS LABBIRI TAKALAR,79,62,74,61,61,67,67,78,C
KABUPATEN TANA TORAJA,SWASTA,SMKS LAKIPADADA,88,84,87,88,87,84,92,78,A
KABUPATEN SOPPENG,SWASTA,SMKS LAMARIO  WATANSOPPENG,73,77,92,72,77,88,86,77,B
KOTA MAKASSAR,SWASTA,SMKS LANIANG MAKASSAR,90,92,91,85,87,86,93,90,A
KOTA MAKASSAR,SWASTA,SMKS MAARIF MAKASSAR ,69,58,59,56,60,63,80,58,C
KOTA  MAKASSAR,SWASTA,SMKS MADANI MAKASSAR,72,72,78,66,63,58,82,80,B
KOTA MAKASSAR,SWASTA,SMKS MASTAR MAKASSAR,78,72,81,66,63,58,82,72,B
KOTA MAKASSAR,SWASTA,SMKS MUHAMMADIAYAH 3 MAKASSAR,84,81,82,67,68,77,94,83,B
KOTA MAKASSAR,SWASTA,SMKS MUHAMMADIYAH 2 MAKASSAR,91,90,92,92,85,93,95,94,A
KOTA MAKASSAR,SWASTA,SMKS MUHAMMADIYAH 4 TALLO MAKASSAR,85,73,92,78,72,70,80,88,B
KABUPATEN BULUKUMBA ,SWASTA,SMKS MUHAMMADIYAH BULUKUMBA,86,87,88,88,88,81,89,82,A
KOTA MAKASSAR,SWASTA,SMKS MUHAMMADIYAH TALLO MAKASSAR,87,79,85,60,69,77,83,80,B
KOTA MAKASSAR,SWASTA,SMKS NASIONAL,85,74,91,78,85,74,80,86,B
KOTA MAKASSAR,SWASTA,SMKS NURKARYA TIDUNG,81,85,85,85,83,86,84,81,B
KABUPATEN TANA TORAJA,SWASTA,SMKS PATI RANTELEMO,82,92,82,79,62,75,79,90,B
KABUPATEN TANA TORAJA,SWASTA,SMKS PEMBANGUNAN MAKALE,85,88,86,85,85,86,88,87,A
KOTA MAKASSAR,SWASTA,SMKS PENERBANGAN HASANUDDIN,78,80,87,68,73,64,89,71,B
KABUPATEN WAJO,SWASTA,SMKS PERSADA,81,72,84,76,79,70,91,72,B
KABUPATEN TANA TORAJA,SWASTA,SMKS PESANTREN PEMBANGUNAN MUHAMMADIYAH,69,73,67,61,66,76,85,84,B
KOTA MAKASSAR,SWASTA,SMKS PRATIDINA MAKASSAR,98,98,97,98,98,97,98,98,A
KOTA MAKASSAR,SWASTA,SMKS PUBLIK,79,73,73,76,74,72,86,75,B
KOTA MAKASSAR,SWASTA,SMKS SAMUDERA NUSANTARA ,79,75,76,76,76,72,89,75,B
KABUPATEN BONE ,SWASTA,SMKS SUPM NEGERI BONE,96,96,96,97,96,93,96,95,A
KOTA MAKASSAR,SWASTA,SMKS TECHNO TERAPAN MAKASSAR,78,63,68,75,78,64,74,63,B
KABUPATEN TANA TORAJA,SWASTA,SMKS TIRANUS TATOR,68,73,59,56,62,59,58,58,C
KABUPATEN SOPPENG,SWASTA,SMKS WAHANA BAKTI,57,51,40,43,37,42,82,43,TT
KABUPATEN SOPPENG,SWASTA,SMKS WIRAMANDIRI,78,73,71,71,77,70,89,74,B
KOTA MAKASSAR,SWASTA,SMKS YAPMI MAKASSAR,73,84,84,74,77,75,94,88,B
KABUPATEN TAKALAR,SWASTA,SMKS YAPTA TAKALAR,82,73,73,73,79,72,92,75,B

